Gene stable ID	Transcript stable ID	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human homology type	Human orthology confidence [0 low, 1 high]
ENSTGUG00000000135	ENSTGUT00000000146							
ENSTGUG00000000137	ENSTGUT00000000139							
ENSTGUG00000000138	ENSTGUT00000000143							
ENSTGUG00000000139	ENSTGUT00000000142							
ENSTGUG00000000140	ENSTGUT00000000150	ENSG00000113580	NR3C1	ENSP00000231509	5	143277931	ortholog_one2many	1
ENSTGUG00000000141	ENSTGUT00000000144	ENSG00000137656	BUD13	ENSP00000260210	11	116748170	ortholog_one2many	1
ENSTGUG00000000142	ENSTGUT00000000149	ENSG00000011132	APBA3	ENSP00000315136	19	3750772	ortholog_one2one	1
ENSTGUG00000000143	ENSTGUT00000000154	ENSG00000109917	ZPR1	ENSP00000227322	11	116773799	ortholog_one2one	1
ENSTGUG00000000144	ENSTGUT00000000151	ENSG00000163832	ELP6	ENSP00000296149	3	47495640	ortholog_one2one	1
ENSTGUG00000000144	ENSTGUT00000000152	ENSG00000163832	ELP6	ENSP00000296149	3	47495640	ortholog_one2one	1
ENSTGUG00000000145	ENSTGUT00000000147	ENSG00000186854	TRABD2A	ENSP00000387075	2	84821650	ortholog_one2one	1
ENSTGUG00000000145	ENSTGUT00000000148	ENSG00000186854	TRABD2A	ENSP00000387075	2	84821650	ortholog_one2one	1
ENSTGUG00000000146	ENSTGUT00000000157	ENSG00000174227	PIGG	ENSP00000415203	4	499210	ortholog_one2one	1
ENSTGUG00000000147	ENSTGUT00000000158	ENSG00000105289	TJP3	ENSP00000465419	19	3708362	ortholog_one2one	1
ENSTGUG00000000148	ENSTGUT00000000159	ENSG00000145819	ARHGAP26	ENSP00000274498	5	142770377	ortholog_one2many	1
ENSTGUG00000000149	ENSTGUT00000000153							
ENSTGUG00000000150	ENSTGUT00000000160	ENSG00000114648	KLHL18	ENSP00000232766	3	47282917	ortholog_one2one	1
ENSTGUG00000000151	ENSTGUT00000000155							
ENSTGUG00000000152	ENSTGUT00000000156							
ENSTGUG00000000153	ENSTGUT00000000165	ENSG00000160584	SIK3	ENSP00000364449	11	116843402	ortholog_one2one	1
ENSTGUG00000000154	ENSTGUT00000000172	ENSG00000178950	GAK	ENSP00000314499	4	849276	ortholog_one2one	1
ENSTGUG00000000155	ENSTGUT00000000166	ENSG00000186111	PIP5K1C	ENSP00000466363	19	3630183	ortholog_one2one	1
ENSTGUG00000000156	ENSTGUT00000000161	ENSG00000145819	ARHGAP26	ENSP00000274498	5	142770377	ortholog_one2many	0
ENSTGUG00000000157	ENSTGUT00000000167	ENSG00000088727	KIF9	ENSP00000333942	3	47228026	ortholog_one2one	1
ENSTGUG00000000158	ENSTGUT00000000162	ENSG00000113578	FGF1	ENSP00000480791	5	142592178	ortholog_one2one	1
ENSTGUG00000000159	ENSTGUT00000000163							
ENSTGUG00000000160	ENSTGUT00000000164	ENSG00000187678	SPRY4	ENSP00000344967	5	142310427	ortholog_one2one	1
ENSTGUG00000000161	ENSTGUT00000000169	ENSG00000131507	NDFIP1	ENSP00000253814	5	142108779	ortholog_one2one	1
ENSTGUG00000000162	ENSTGUT00000000168	ENSG00000168092	PAFAH1B2	ENSP00000435289	11	117144284	ortholog_one2one	1
ENSTGUG00000000163	ENSTGUT00000000170	ENSG00000105298	CACTIN	ENSP00000415078	19	3610645	ortholog_one2one	1
ENSTGUG00000000164	ENSTGUT00000000175	ENSG00000181555	SETD2	ENSP00000386759	3	47016429	ortholog_one2one	1
ENSTGUG00000000166	ENSTGUT00000000174	ENSG00000113552	GNPDA1	ENSP00000423674	5	141991749	ortholog_one2one	1
ENSTGUG00000000167	ENSTGUT00000000171	ENSG00000006638	TBXA2R	ENSP00000393333	19	3594506	ortholog_one2one	1
ENSTGUG00000000168	ENSTGUT00000000173	ENSG00000179855	GIPC3	ENSP00000493901	19	3585478	ortholog_one2one	1
ENSTGUG00000000169	ENSTGUT00000000180	ENSG00000064961	HMG20B	ENSP00000328269	19	3572777	ortholog_one2one	1
ENSTGUG00000000170	ENSTGUT00000000181	ENSG00000127419	TMEM175	ENSP00000264771	4	932387	ortholog_one2many	1
ENSTGUG00000000171	ENSTGUT00000000179	ENSG00000013561	RNF14	ENSP00000324956	5	141958328	ortholog_one2one	1
ENSTGUG00000000172	ENSTGUT00000000178	ENSG00000149577	SIDT2	ENSP00000314023	11	117178733	ortholog_one2one	0
ENSTGUG00000000173	ENSTGUT00000000177							
ENSTGUG00000000174	ENSTGUT00000000188	ENSG00000160796	NBEAL2	ENSP00000415034	3	46979683	ortholog_one2one	1
ENSTGUG00000000175	ENSTGUT00000000183	ENSG00000149591	TAGLN	ENSP00000432282	11	117199321	ortholog_one2one	1
ENSTGUG00000000176	ENSTGUT00000000190	ENSG00000170606	HSPA4	ENSP00000302961	5	133052013	ortholog_one2one	1
ENSTGUG00000000177	ENSTGUT00000000184	ENSG00000161091	MFSD12	ENSP00000347583	19	3538261	ortholog_one2one	1
ENSTGUG00000000178	ENSTGUT00000000182	ENSG00000169020	ATP5ME	ENSP00000306003	4	672436	ortholog_one2one	1
ENSTGUG00000000179	ENSTGUT00000000206	ENSG00000133256	PDE6B	ENSP00000420295	4	625584	ortholog_one2many	1
ENSTGUG00000000180	ENSTGUT00000000186	ENSG00000160613	PCSK7	ENSP00000325917	11	117204337	ortholog_one2one	1
ENSTGUG00000000181	ENSTGUT00000000185	ENSG00000105325	FZR1	ENSP00000378529	19	3506273	ortholog_one2one	1
ENSTGUG00000000182	ENSTGUT00000000192	ENSG00000141905	NFIC	ENSP00000396843	19	3314403	ortholog_one2one	1
ENSTGUG00000000183	ENSTGUT00000000187	ENSG00000167257	RNF214	ENSP00000300650	11	117232625	ortholog_one2one	1
ENSTGUG00000000184	ENSTGUT00000000193	ENSG00000186318	BACE1	ENSP00000318585	11	117285207	ortholog_one2one	1
ENSTGUG00000000185	ENSTGUT00000000189							
ENSTGUG00000000186	ENSTGUT00000000191	ENSG00000160799	CCDC12	ENSP00000292314	3	46921726	ortholog_one2one	1
ENSTGUG00000000187	ENSTGUT00000000195	ENSG00000072364	AFF4	ENSP00000265343	5	132875395	ortholog_one2one	1
ENSTGUG00000000188	ENSTGUT00000000210	ENSG00000160801	PTH1R	ENSP00000402723	3	46877721	ortholog_one2one	1
ENSTGUG00000000189	ENSTGUT00000000204							
ENSTGUG00000000190	ENSTGUT00000000194							
ENSTGUG00000000191	ENSTGUT00000000199							
ENSTGUG00000000192	ENSTGUT00000000196	ENSG00000164406	LEAP2	ENSP00000296877	5	132872322	ortholog_one2one	1
ENSTGUG00000000193	ENSTGUT00000000197	ENSG00000164405	UQCRQ	ENSP00000367939	5	132866630	ortholog_one2one	1
ENSTGUG00000000194	ENSTGUT00000000198	ENSG00000164404	GDF9	ENSP00000367942	5	132861181	ortholog_one2many	1
ENSTGUG00000000195	ENSTGUT00000000200	ENSG00000145861	C1QTNF2	ENSP00000377545	5	160347751	ortholog_one2many	1
ENSTGUG00000000196	ENSTGUT00000000201							
ENSTGUG00000000197	ENSTGUT00000000202	ENSG00000170231	FABP6	ENSP00000377549	5	160187367	ortholog_one2one	1
ENSTGUG00000000198	ENSTGUT00000000219	ENSG00000177103	DSCAML1	ENSP00000315465	11	117427773	ortholog_one2one	1
ENSTGUG00000000199	ENSTGUT00000000203	ENSG00000170234	PWWP2A	ENSP00000305151	5	160061801	ortholog_one2one	1
ENSTGUG00000000200	ENSTGUT00000000209	ENSG00000113312	TTC1	ENSP00000231238	5	160009113	ortholog_one2many	1
ENSTGUG00000000201	ENSTGUT00000000205	ENSG00000181588	MEX3D	ENSP00000384398	19	1554669	ortholog_one2one	1
ENSTGUG00000000202	ENSTGUT00000000208	ENSG00000071655	MBD3	ENSP00000412302	19	1573596	ortholog_one2one	1
ENSTGUG00000000203	ENSTGUT00000000207							
ENSTGUG00000000204	ENSTGUT00000000211	ENSG00000127540	UQCR11	ENSP00000467262	19	1597169	ortholog_many2many	1
ENSTGUG00000000204	ENSTGUT00000000211	ENSG00000267059	AC005943.1	ENSP00000468614	19	1578339	ortholog_many2many	1
ENSTGUG00000000205	ENSTGUT00000000217	ENSG00000127415	IDUA	ENSP00000247933	4	986997	ortholog_one2one	1
ENSTGUG00000000206	ENSTGUT00000000212	ENSG00000170214	ADRA1B	ENSP00000306662	5	159865080	ortholog_one2one	1
ENSTGUG00000000207	ENSTGUT00000000213	ENSG00000160808	MYL3	ENSP00000379210	3	46857872	ortholog_one2one	1
ENSTGUG00000000208	ENSTGUT00000000216	ENSG00000071564	TCF3	ENSP00000262965	19	1609284	ortholog_one2one	1
ENSTGUG00000000209	ENSTGUT00000000214	ENSG00000113302	IL12B	ENSP00000231228	5	159314783	ortholog_one2one	1
ENSTGUG00000000210	ENSTGUT00000000215							
ENSTGUG00000000211	ENSTGUT00000000222	ENSG00000178038	ALS2CL	ENSP00000313670	3	46668995	ortholog_one2one	1
ENSTGUG00000000212	ENSTGUT00000000221	ENSG00000145868	FBXO38	ENSP00000342023	5	148383935	ortholog_one2many	1
ENSTGUG00000000213	ENSTGUT00000000218	ENSG00000205922	ONECUT3	ENSP00000371786	19	1752373	ortholog_one2one	1
ENSTGUG00000000214	ENSTGUT00000000220	ENSG00000145217	SLC26A1	ENSP00000354721	4	979073	ortholog_one2one	0
ENSTGUG00000000215	ENSTGUT00000000254							
ENSTGUG00000000216	ENSTGUT00000000230	ENSG00000147434	CHRNA6	ENSP00000276410	8	42752620	ortholog_one2many	1
ENSTGUG00000000217	ENSTGUT00000000223	ENSG00000110324	IL10RA	ENSP00000227752	11	117986348	ortholog_one2one	1
ENSTGUG00000000218	ENSTGUT00000000229	ENSG00000164270	HTR4	ENSP00000353915	5	148451032	ortholog_one2many	0
ENSTGUG00000000219	ENSTGUT00000000224	ENSG00000081692	JMJD4	ENSP00000355720	1	227730425	ortholog_one2many	1
ENSTGUG00000000220	ENSTGUT00000000233	ENSG00000153802	TMPRSS11D	ENSP00000283916	4	67820876	ortholog_many2many	0
ENSTGUG00000000220	ENSTGUT00000000233	ENSG00000087128	TMPRSS11E	ENSP00000307519	4	68447463	ortholog_many2many	0
ENSTGUG00000000220	ENSTGUT00000000233	ENSG00000215148	PRSS41	ENSP00000492058	16	2798485	ortholog_many2many	0
ENSTGUG00000000220	ENSTGUT00000000233	ENSG00000185873	TMPRSS11B	ENSP00000330475	4	68226653	ortholog_many2many	0
ENSTGUG00000000220	ENSTGUT00000000233	ENSG00000005001	PRSS22	ENSP00000161006	16	2852730	ortholog_many2many	0
ENSTGUG00000000220	ENSTGUT00000000233	ENSG00000198092	TMPRSS11F	ENSP00000348639	4	68053198	ortholog_many2many	0
